"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1344","c","c","GO:0043627","response to estrogen","7/562","72/23239",0.00176600968018485,0.0332669716888929,0.0268639000561833,"14463/18125/17684/217069/12389/11607/56222",7
"1352","c","c","GO:0010656","negative regulation of muscle cell apoptotic process","6/562","54/23239",0.00188003125291052,0.0342889382068493,0.0276891632227826,"14463/12633/29810/12389/243912/11607",6
"1374","c","c","GO:0032102","negative regulation of response to external stimulus","17/562","319/23239",0.00210780982541477,0.035018035662569,0.0282779273990004,"243958/11433/214968/20346/21946/18846/18007/22417/268860/11816/26456/66824/66294/269473/18784/11539/20357",17
"1376","c","c","GO:1905332","positive regulation of morphogenesis of an epithelium","5/562","38/23239",0.00210932313239174,0.035018035662569,0.0282779273990004,"107515/18222/22417/22414/11607",5
"1385","c","c","GO:0033555","multicellular organismal response to stress","8/562","96/23239",0.00229142192841811,0.0368572257785038,0.0297631187750249,"216749/12846/72194/18125/11816/218461/12394/12257",8
"1419","c","c","GO:0002274","myeloid leukocyte activation","12/562","196/23239",0.00304372110408473,0.0435002632547717,0.0351275353651746,"17988/16590/74732/27027/94176/18806/224938/19419/13615/17000/66824/18784",12
"1424","c","c","GO:0007626","locomotory behavior","14/562","250/23239",0.00324145958210583,0.045579104252901,0.03680625073875,"22095/14763/11438/13131/19063/268860/11816/22295/56847/27386/12307/78286/16508/72108",14
"1436","c","c","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","12/562","199/23239",0.00344202031228893,0.0465955482648057,0.0376270543455187,"219257/76965/16600/12156/13131/19268/73173/244682/215654/22295/50791/16858",12
"1453","d","d","GO:0051186","cofactor metabolic process","28/346","481/23239",9.8605027118513e-10,3.24039472750858e-06,2.75510324669558e-06,"54198/21881/107029/11757/15926/16922/18041/269523/18477/16832/11674/11666/14775/68312/20848/56615/18024/171210/75475/15360/16548/107747/17436/14863/14862/14590/20655/14151",28
"1454","d","d","GO:0019395","fatty acid oxidation","13/346","97/23239",2.13656761269834e-09,3.24039472750858e-06,2.75510324669558e-06,"18984/11370/13177/11363/13167/16922/56357/52430/80911/11666/231086/12894/14077",13
"1455","d","d","GO:0034440","lipid oxidation","13/346","99/23239",2.76091570080253e-09,3.24039472750858e-06,2.75510324669558e-06,"18984/11370/13177/11363/13167/16922/56357/52430/80911/11666/231086/12894/14077",13
"1468","d","d","GO:0062012","regulation of small molecule metabolic process","19/346","333/23239",7.01171134329937e-07,0.000154301472748482,0.000131192809607522,"18984/19062/11370/107029/11363/13167/269523/11666/72999/20848/68041/16867/12894/14077/16548/20845/17436/20655/235623",19
"1472","d","d","GO:0032387","negative regulation of intracellular transport","8/346","69/23239",8.44892113145219e-06,0.00148743256519216,0.00126467008936053,"19062/116891/54198/12568/215449/18015/16165/56715",8
"1476","d","d","GO:0009611","response to wounding","21/346","479/23239",1.17684647145693e-05,0.00167568420149323,0.00142472858160713,"12568/11891/230824/68750/223255/14775/26400/18024/18015/18753/18810/14066/18438/12306/20971/26401/20655/14726/14609/16476/80748",21
"1485","d","d","GO:1904950","negative regulation of establishment of protein localization","12/346","197/23239",4.24593428440845e-05,0.00453028321678853,0.00385181406853513,"19062/116891/54198/110213/15502/12568/18015/217344/17470/65113/22228/56715",12
"1488","d","d","GO:0016032","viral process","14/346","272/23239",6.34729059589243e-05,0.00620800283003813,0.00527827323237371,"19062/54198/30960/269523/22320/13030/78781/12306/13138/69550/22670/20846/13858/16476",14
"1494","d","d","GO:0014044","Schwann cell development","5/346","33/23239",0.000119743977331016,0.0100385367662502,0.00853513462479725,"12568/225608/18015/13138/20655",5
"1501","d","d","GO:0009266","response to temperature stimulus","10/346","163/23239",0.000173117066181822,0.0124396977556367,0.0105766903592074,"11370/11363/15502/269523/26400/18015/21804/22228/20655/72759",10
"1503","d","d","GO:0051899","membrane depolarization","7/346","82/23239",0.000222897736405029,0.0151327357886867,0.0128664107335013,"11666/12289/14805/18438/83997/14609/16476",7
"1514","d","d","GO:0045454","cell redox homeostasis","6/346","63/23239",0.000346972122305117,0.0195980923156526,0.0166630217329754,"11757/18477/66958/14775/18024/69672",6
"1517","d","d","GO:0052547","regulation of peptidase activity","16/346","403/23239",0.000391778850197084,0.0211183180468265,0.0179555737829189,"18984/19186/269523/23938/14775/225896/20733/20848/76884/14066/74069/20719/52668/20846/13010/20715",16
"1523","d","d","GO:0007041","lysosomal transport","7/346","92/23239",0.00045256807274682,0.0224435518893176,0.0190823365291617,"269523/105841/16867/52120/140723/67298/67015",7
"1530","d","d","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","7/346","96/23239",0.000585389453456582,0.0264250803284695,0.0224675790233538,"12388/11487/14735/13138/140723/380702/13858",7
"1531","d","d","GO:0002638","negative regulation of immunoglobulin production","3/346","12/23239",0.000651464566891486,0.0283186017287027,0.0240775208348198,"110213/65113/16165",3
"1533","d","d","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","3/346","12/23239",0.000651464566891486,0.0283186017287027,0.0240775208348198,"110213/81489/16476",3
"1539","d","d","GO:0097352","autophagosome maturation","4/346","29/23239",0.000854664566792578,0.0345893556284674,0.0294091473437156,"269523/22320/17281/12752",4
"1552","d","d","GO:0007031","peroxisome organization","4/346","32/23239",0.00124937674366285,0.0431892424809107,0.0367210886906262,"11666/56535/72759/69129",4
"1560","d","d","GO:1990778","protein localization to cell periphery","13/346","327/23239",0.00133162455888644,0.0431892424809107,0.0367210886906262,"19062/56374/12568/16456/22320/11487/19340/12752/14735/12306/13138/20194/83997",13
"1565","d","d","GO:0062013","positive regulation of small molecule metabolic process","8/346","144/23239",0.00145226468028122,0.0438642172248798,0.0372949771409313,"18984/269523/11666/20848/68041/16867/12894/20845",8
"1574","d","d","GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","3/346","16/23239",0.00158658596396713,0.0454176356026688,0.0386157508046429,"11487/14735/13138",3
"1575","d","d","GO:0106118","regulation of sterol biosynthetic process","3/346","16/23239",0.00158658596396713,0.0454176356026688,0.0386157508046429,"18984/20655/235623",3
"1578","d","d","GO:0002011","morphogenesis of an epithelial sheet","5/346","58/23239",0.00170668795859535,0.0476924468429699,0.0405498793170022,"68750/75415/13138/26401/14726",5
"1580","d","d","GO:0042311","vasodilation","4/346","35/23239",0.00175653374813192,0.0483184009935351,0.0410820886487433,"14775/19735/18438/20655",4
"1584","d","d","GO:0007264","small GTPase mediated signal transduction","16/346","468/23239",0.0018821241810864,0.0493312810981083,0.0419432767135593,"22325/17311/56784/226751/78255/11891/54366/75415/215449/19340/18015/105445/58804/56715/14726/16476",16
"1585","d","d","GO:0001921","positive regulation of receptor recycling","3/346","17/23239",0.00190543999697323,0.0493312810981083,0.0419432767135593,"12306/13858/230857",3
"1589","f","f","GO:0040013","negative regulation of locomotion","19/163","326/23239",1.76056397328858e-12,3.11902093274425e-09,2.14177912160184e-09,"12798/19272/22418/13078/77125/16011/100952/19242/11819/20377/20563/108151/268902/211323/23947/114886/22240/12512/21814",19
"1590","f","f","GO:0030198","extracellular matrix organization","17/163","248/23239",2.09330263942567e-12,3.11902093274425e-09,2.14177912160184e-09,"17385/12842/72043/18858/13078/241226/50706/100952/18595/12843/69538/21810/21808/76293/23876/14758/12828",17
"1593","f","f","GO:0032963","collagen metabolic process","11/163","97/23239",8.50965623969951e-11,5.07175511886091e-08,3.48268878525808e-08,"17385/12842/52377/21809/18596/17389/100952/17390/76293/114886/21814",11
"1595","f","f","GO:0072001","renal system development","16/163","297/23239",3.47666825669849e-10,1.48006734356593e-07,1.01633730692058e-07,"72043/22418/18596/241226/13809/18595/20377/20563/21808/21412/14633/268902/18514/329628/11609/12828",16
"1606","f","f","GO:0009611","response to wounding","17/163","479/23239",4.99031778672362e-08,7.59490394025649e-06,5.21529256794723e-06,"18053/12842/12798/20512/72043/22418/20583/18595/17390/11475/21808/17289/56193/13649/17181/22240/21824",17
"1607","f","f","GO:0090287","regulation of cellular response to growth factor stimulus","13/163","265/23239",5.06845331973475e-08,7.59490394025649e-06,5.21529256794723e-06,"18053/72043/21809/22418/18189/241226/100952/20377/20563/239337/12512/21814/11609",13
"1609","f","f","GO:0090288","negative regulation of cellular response to growth factor stimulus","10/163","139/23239",5.35211351494585e-08,7.59490394025649e-06,5.21529256794723e-06,"18053/72043/21809/22418/100952/20377/20563/239337/21814/11609",10
"1611","f","f","GO:0031589","cell-substrate adhesion","14/163","322/23239",6.85793390516954e-08,8.88549697278489e-06,6.1015210579632e-06,"12842/19272/241226/50706/100952/19242/20377/69538/239337/208777/329872/17289/12512/14758",14
"1618","f","f","GO:0050919","negative chemotaxis","6/163","36/23239",1.77676106370992e-07,1.73079358470511e-05,1.18850679218182e-05,"22418/18187/20563/108151/268902/211323",6
"1651","f","f","GO:0033674","positive regulation of kinase activity","14/163","467/23239",5.70430392380394e-06,0.000269822630046599,0.000185282653765662,"21809/22418/18189/18596/381290/24136/18595/14745/21808/14600/211323/19122/13649/215653",14
"1674","f","f","GO:0050803","regulation of synapse structure or activity","10/163","264/23239",1.81287905008046e-05,0.000628183670841836,0.000431363142393687,"20692/22418/18189/18187/13602/19242/16981/52398/19122/12386",10
"1676","f","f","GO:0062009","secondary palate development","4/163","24/23239",2.22161041147651e-05,0.000752318071159091,0.000516604143529945,"21809/22418/21808/21814",4
"1691","f","f","GO:0050714","positive regulation of protein secretion","10/163","285/23239",3.48217039305354e-05,0.00100012162868073,0.000686766671195813,"21809/22418/77125/50706/54725/21808/13649/20742/230073/11609",10
"1707","f","f","GO:1905314","semi-lunar valve development","4/163","29/23239",4.83182688141528e-05,0.00120998689971576,0.000830877616759956,"100952/20563/21808/268902",4
"1714","f","f","GO:1905207","regulation of cardiocyte differentiation","5/163","60/23239",6.38539453033219e-05,0.00151019648415793,0.0010370264801141,"22402/106042/21808/211323/13649",5
"1715","f","f","GO:0110110","positive regulation of animal organ morphogenesis","6/163","98/23239",6.71093842995419e-05,0.00157469263946956,0.00108131490325992,"18053/18595/19242/21808/268902/11609",6
"1726","f","f","GO:1901615","organic hydroxy compound metabolic process","12/163","452/23239",8.71430327851707e-05,0.00188178433115803,0.0012921895937023,"18858/22418/20583/13078/67847/24136/234515/21808/19659/56193/104086/11609",12
"1752","f","f","GO:1905330","regulation of morphogenesis of an epithelium","6/163","111/23239",0.000133946999877044,0.00243391499776579,0.00167132841951844,"22418/20583/18595/20377/239337/11609",6
"1781","f","f","GO:0051291","protein heterooligomerization","7/163","168/23239",0.000188457441561894,0.00290986101478986,0.00199815253011356,"12842/18189/12843/20979/11641/52398/12833",7
"1783","f","f","GO:0198738","cell-cell signaling by wnt","11/163","420/23239",0.000193777604927719,0.00296131929581848,0.00203348806466659,"12842/22402/72043/22418/20583/24136/20377/106042/207181/17289/13649",11
"1831","f","f","GO:2000377","regulation of reactive oxygen species metabolic process","7/163","192/23239",0.000424023461669615,0.00519995850113355,0.00357072388774413,"18053/13078/18596/381290/13649/23876/14825",7
"1832","f","f","GO:0050727","regulation of inflammatory response","9/163","318/23239",0.000426319528326117,0.00520668932135995,0.00357534582858486,"18858/22418/77125/13136/20563/239337/13649/12628/54598",9
"1855","f","f","GO:1905809","negative regulation of synapse organization","3/163","24/23239",0.000615275161950207,0.00686711603974388,0.00471553287928722,"22418/19242/19122",3
"1866","f","f","GO:1905477","positive regulation of protein localization to membrane","5/163","100/23239",0.000702850101736026,0.00753414857256603,0.00517357288063171,"18189/19242/19122/13649/20742",5
"1871","f","f","GO:0010863","positive regulation of phospholipase C activity","3/163","26/23239",0.000782285950699738,0.00813633467722844,0.0055870839323674,"18596/18595/14745",3
"1908","f","f","GO:0033273","response to vitamin","3/163","30/23239",0.00119672274182714,0.0109943219292342,0.00754961562360694,"20583/50706/19659",3
"1929","f","f","GO:0099175","regulation of postsynapse organization","5/163","117/23239",0.0014220680836261,0.0124274571530961,0.00853372543469406,"22418/18189/18187/19242/19122",5
"1935","f","f","GO:1905475","regulation of protein localization to membrane","6/163","175/23239",0.00149940367986985,0.0128767232449918,0.0088422288902381,"18189/19242/19122/69660/13649/20742",6
"1941","f","f","GO:0043627","response to estrogen","4/163","72/23239",0.00165650220710556,0.013984069623724,0.00960262499064623,"21809/20377/17390/21808",4
"1943","f","f","GO:0150063","visual system development","9/163","388/23239",0.00172429781445131,0.0143839886959508,0.00987724267923995,"13078/18596/24136/18595/19242/21808/17132/17289/13649",9
"1953","f","f","GO:0099173","postsynapse organization","6/163","184/23239",0.00193257194861213,0.0157782586489429,0.0108346643636683,"22418/18189/18187/19242/54725/19122",6
"1962","f","f","GO:1900376","regulation of secondary metabolite biosynthetic process","2/163","10/23239",0.00212053020473817,0.0168533802248126,0.0115729322349119,"22418/24136",2
"1966","f","f","GO:1905209","positive regulation of cardiocyte differentiation","3/163","37/23239",0.00220952275975334,0.0174189889525528,0.0119613262182136,"22402/21808/211323",3
"1972","f","f","GO:0106056","regulation of calcineurin-mediated signaling","3/163","38/23239",0.00238665596652421,0.0184649803211974,0.0126795908669755,"381290/211323/19122",3
"2001","f","f","GO:0110111","negative regulation of animal organ morphogenesis","3/163","41/23239",0.00296990290602591,0.0214293236318576,0.0147151554716818,"18028/22418/21808",3
"2007","f","f","GO:0014745","negative regulation of muscle adaptation","2/163","12/23239",0.00308157943199297,0.021760916368102,0.0149428546165985,"16011/381290",2
"2018","f","f","GO:1902893","regulation of pri-miRNA transcription by RNA polymerase II","3/163","43/23239",0.00340324827576535,0.0235105812046322,0.0161443199794436,"18053/18028/21808",3
"2024","f","f","GO:0030449","regulation of complement activation","2/163","13/23239",0.00362513719532474,0.0239674863050184,0.0164580690134072,"13136/12628",2
"2025","f","f","GO:0031223","auditory behavior","2/163","13/23239",0.00362513719532474,0.0239674863050184,0.0164580690134072,"20512/18189",2
"2036","f","f","GO:1905879","regulation of oogenesis","2/163","13/23239",0.00362513719532474,0.0239674863050184,0.0164580690134072,"54611/230103",2
"2063","f","f","GO:0106057","negative regulation of calcineurin-mediated signaling","2/163","14/23239",0.00420990956804718,0.026300902542517,0.0180603866275708,"381290/19122",2
"2075","f","f","GO:0070234","positive regulation of T cell apoptotic process","2/163","15/23239",0.00483529885367303,0.0294666474109318,0.0202342502885381,"22418/21808",2
"2082","f","f","GO:0097720","calcineurin-mediated signaling","3/163","49/23239",0.00492742216656815,0.0297241256201884,0.0204110562365406,"381290/211323/19122",3
"2112","f","f","GO:0043473","pigmentation","4/163","102/23239",0.00581983871430854,0.0329772946880367,0.0226449526222336,"20692/20583/24136/12512",4
"2144","f","f","GO:0001573","ganglioside metabolic process","2/163","18/23239",0.00694928488600005,0.036652865416425,0.0251689051111022,"20450/20447",2
"2146","f","f","GO:0006688","glycosphingolipid biosynthetic process","2/163","18/23239",0.00694928488600005,0.036652865416425,0.0251689051111022,"20450/20447",2
"2172","f","f","GO:1905276","regulation of epithelial tube formation","2/163","19/23239",0.00773128934114771,0.0394507572544866,0.0270901702941441,"22418/20377",2
"2183","f","f","GO:1901216","positive regulation of neuron death","4/163","113/23239",0.00831208158790814,0.0416302573646492,0.0285867962970251,"18053/22418/21808/19122",4
"2197","f","f","GO:0110053","regulation of actin filament organization","6/163","254/23239",0.00919133426386117,0.0449756586310448,0.0308840269794246,"21809/20563/14745/56193/20742/242553",6
"2223","f","f","GO:0044851","hair cycle phase","2/163","22/23239",0.0103013926048916,0.0477420683710372,0.0327836739361696,"22418/21808",2
"2224","f","f","GO:0046597","negative regulation of viral entry into host cell","2/163","22/23239",0.0103013926048916,0.0477420683710372,0.0327836739361696,"23947/66141",2
"2226","f","f","GO:0060390","regulation of SMAD protein signal transduction","2/163","22/23239",0.0103013926048916,0.0477420683710372,0.0327836739361696,"21809/20742",2
"2240","g","g","GO:0048608","reproductive structure development","20/220","445/23239",1.01619775616989e-08,2.03301894062143e-05,1.51012727664829e-05,"12505/18799/13982/16000/17977/12192/22762/16952/381157/56484/26927/12168/20317/19116/56213/20720/16410/56312/16323/11835",20
"2241","g","g","GO:0061458","reproductive system development","20/220","449/23239",1.18027224419241e-08,2.03301894062143e-05,1.51012727664829e-05,"12505/18799/13982/16000/17977/12192/22762/16952/381157/56484/26927/12168/20317/19116/56213/20720/16410/56312/16323/11835",20
"2242","g","g","GO:0062013","positive regulation of small molecule metabolic process","11/220","144/23239",1.32439178053716e-07,0.000152084322798351,0.000112968295385468,"18519/18799/16000/16952/53322/14164/13132/56490/56458/98496/26874",11
"2243","g","g","GO:0043900","regulation of multi-organism process","17/220","392/23239",2.24592839020036e-07,0.000168959523422646,0.000125503201112353,"16859/103213/16000/14595/23962/107607/12801/22695/209200/80876/16852/56213/76303/50915/16410/16323/11835",17
"2244","g","g","GO:0050678","regulation of epithelial cell proliferation","16/220","349/23239",2.45224272021258e-07,0.000168959523422646,0.000125503201112353,"12444/13982/16000/12192/67866/14595/14164/22695/12168/20317/56213/19206/13132/21825/12571/11835",16
"2245","g","g","GO:0010876","lipid localization","16/220","361/23239",3.85679008631393e-07,0.000199036855855987,0.000147844655591141,"14667/11303/56745/16952/53322/76184/18779/19206/13132/76303/108116/16410/79196/21825/16323/217262",16
"2246","g","g","GO:0032102","negative regulation of response to external stimulus","15/220","319/23239",4.27024674102465e-07,0.000199036855855987,0.000147844655591141,"16859/12505/56745/67866/11747/12527/53322/22695/20317/56213/20720/72828/210029/21825/26874",15
"2247","g","g","GO:0006869","lipid transport","15/220","323/23239",5.00047630363196e-07,0.000199036855855987,0.000147844655591141,"11303/56745/16952/53322/76184/18779/19206/13132/76303/108116/16410/79196/21825/16323/217262",15
"2248","g","g","GO:0019216","regulation of lipid metabolic process","15/220","324/23239",5.1998017495033e-07,0.000199036855855987,0.000147844655591141,"57875/13982/16000/16952/226849/70461/53322/14164/12520/13653/12801/21833/13132/56490/26874",15
"2250","g","g","GO:0010035","response to inorganic substance","18/220","478/23239",7.72908458340517e-07,0.000225718028586165,0.000167663441293398,"18799/19141/14281/16952/73649/11747/17748/12955/66725/320404/56484/19206/53945/16410/22068/21825/56458/20657",18
"2252","g","g","GO:0042060","wound healing","15/220","345/23239",1.14312049260937e-06,0.000302926930541483,0.000225014244334687,"12505/56745/16000/67866/16952/11747/14595/12527/14456/27973/23972/20720/72828/74012/21825",15
"2253","g","g","GO:0009615","response to virus","13/220","262/23239",1.41089244912339e-06,0.000347180320516434,0.000257885679986388,"16859/26943/16362/103213/16155/15976/23962/54445/209200/56048/80876/76933/56213",13
"2254","g","g","GO:1901652","response to peptide","15/220","353/23239",1.51922591632517e-06,0.000348915552116014,0.000259174610707824,"18519/18799/16362/16000/12192/19141/16952/11747/53322/107607/13653/56484/50915/56458/98496",15
"2260","g","g","GO:0052548","regulation of endopeptidase activity","14/220","329/23239",3.36295716368632e-06,0.000549092142101588,0.000407865861263146,"12505/21859/16000/19141/14456/12955/107607/26927/76933/20317/16913/20720/21825/66222",14
"2262","g","g","GO:0062012","regulation of small molecule metabolic process","14/220","333/23239",3.86597957791006e-06,0.000579056506343485,0.000430123402924456,"18519/18799/56745/16000/16952/53322/14164/13653/12801/13132/56490/56458/98496/26874",14
"2278","g","g","GO:1904019","epithelial cell apoptotic process","8/220","108/23239",8.87785261971223e-06,0.000784210314741247,0.000582511733293399,"57875/16000/12192/14456/22695/56484/12168/21825",8
"2280","g","g","GO:0035456","response to interferon-beta","6/220","52/23239",9.5173969283977e-06,0.000799693473617807,0.00059401262985712,"16362/15976/327959/15944/80876/55932",6
"2287","g","g","GO:1903707","negative regulation of hemopoiesis","9/220","154/23239",1.67481227864959e-05,0.00119748915634103,0.000889495420996118,"12505/16362/12192/16952/72147/320404/22695/72828/12571",9
"2302","g","g","GO:0002262","myeloid cell homeostasis","9/220","174/23239",4.39149505156638e-05,0.0023883131396792,0.00177403994883817,"12505/12192/16952/320404/22695/56484/21833/12571/16323",9
"2307","g","g","GO:1903077","negative regulation of protein localization to plasma membrane","4/220","23/23239",6.00859076301455e-05,0.00304405811449781,0.00226112757660811,"226849/77037/13132/98496",4
"2308","g","g","GO:0072503","cellular divalent inorganic cation homeostasis","15/220","484/23239",6.32101221928747e-05,0.00310717305508111,0.00230800937954386,"18799/56745/11749/13982/11747/16438/53322/17748/19309/319239/16410/22068/72828/109676/104027",15
"2310","g","g","GO:1905952","regulation of lipid localization","8/220","142/23239",6.42827840242851e-05,0.00310717305508111,0.00230800937954386,"11303/56745/53322/18779/19206/13132/16410/21825",8
"2318","g","g","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","5/220","48/23239",8.93165895377119e-05,0.00388643478139381,0.00288684529938686,"16859/12168/13132/110075/16323",5
"2326","g","g","GO:0048599","oocyte development","5/220","49/23239",9.87055586018468e-05,0.00388643478139381,0.00288684529938686,"16000/56484/50915/381022/214575",5
"2347","g","g","GO:1905954","positive regulation of lipid localization","6/220","87/23239",0.000179311303657264,0.00571969852869699,0.00424859433909171,"11303/56745/53322/18779/19206/13132",6
"2353","g","g","GO:1905476","negative regulation of protein localization to membrane","4/220","31/23239",0.000201206361925663,0.00602744275507746,0.00447718687268911,"226849/77037/13132/98496",4
"2385","g","g","GO:0007611","learning or memory","10/220","282/23239",0.000376423108340042,0.00880379642485008,0.00653946348141794,"12444/14667/16000/12227/19141/13653/12801/21833/20317/104027",10
"2394","g","g","GO:0044403","symbiont process","11/220","347/23239",0.000499963836269015,0.011112099457721,0.00825407189113736,"226422/23962/14456/229900/22695/15944/80876/16852/76303/16410/55932",11
"2446","g","g","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","4/220","46/23239",0.000933983931894316,0.0155438388665503,0.0115459696843889,"16859/545370/16852/23966",4
"2481","g","g","GO:1903649","regulation of cytoplasmic transport","3/220","25/23239",0.00165047919986965,0.0234954580312023,0.0174524355584303,"226422/66725/13132",3
"2486","g","g","GO:0044060","regulation of endocrine process","4/220","54/23239",0.0017064667063952,0.0236171898838754,0.0175428580269502,"56745/26927/13132/16323",4
"2496","g","g","GO:0033158","regulation of protein import into nucleus, translocation","3/220","26/23239",0.0018528186911747,0.0243773272076685,0.018107488333005,"16000/14456/66725",3
"2500","g","g","GO:2001171","positive regulation of ATP biosynthetic process","3/220","26/23239",0.0018528186911747,0.0243773272076685,0.018107488333005,"16000/56490/98496",3
"2527","g","g","GO:0051260","protein homooligomerization","10/220","359/23239",0.0023297797333772,0.0278683721579321,0.0207006379087718,"57875/56745/11749/18484/11747/14595/70461/12955/74568/14660",10
"2546","g","g","GO:0001558","regulation of cell growth","11/220","432/23239",0.00286938783665412,0.0321788912507112,0.0239024932031102,"12505/16000/67866/12955/12520/12168/56213/13132/20720/232441/16323",11
"2563","g","g","GO:0001666","response to hypoxia","7/220","205/23239",0.00347829034376876,0.0368698776439489,0.0273869597593583,"12192/16438/12955/19309/52538/13653/20657",7
"2570","g","g","GO:0031589","cell-substrate adhesion","9/220","322/23239",0.00372212638300933,0.0387393516298101,0.0287756057786474,"67896/14456/16852/13132/246707/16410/72007/21825/12571",9
"2599","g","g","GO:0007039","protein catabolic process in the vacuole","2/220","11/23239",0.00463836366868566,0.0431869265908706,0.0320792662263865,"27060/12520",2
"2605","g","g","GO:0086016","AV node cell action potential","2/220","11/23239",0.00463836366868566,0.0431869265908706,0.0320792662263865,"12296/109676",2
"2606","g","g","GO:0086027","AV node cell to bundle of His cell signaling","2/220","11/23239",0.00463836366868566,0.0431869265908706,0.0320792662263865,"12296/109676",2
"2648","g","g","GO:1900402","regulation of carbohydrate metabolic process by regulation of transcription from RNA polymerase II promoter","2/220","12/23239",0.00553146200348688,0.04637683127343,0.0344487286916838,"18519/56458",2
"2676","g","g","GO:0032060","bleb assembly","2/220","13/23239",0.00649660678023687,0.0498459028015947,0.0370255564007873,"13730/13732",2
"2687","g","g","GO:1905879","regulation of oogenesis","2/220","13/23239",0.00649660678023687,0.0498459028015947,0.0370255564007873,"16000/50915",2
